,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12381,12381,0,26.021,0,2001,1,0,0,,0,0,0,0,2001,0.0,1,Tim Christman,0,0
12382,12382,25,28.221999999999998,1,2001,23,5,0,0.511,26,0,0,7,2001,-0.1,1,Stubby Clapp,0,0
12383,12383,0,24.234,0,2001,4,0,0,,0,0,0,0,2001,0.0,1,Tony Cogan,0,0
12387,12387,0,23.305999999999997,0,2000,0,0,0,,0,0,0,0,2001,0.0,2,Paxton Crawford,0,1
12389,12389,104,30.201999999999998,4,2000,85,32,7,0.904,114,14,0,33,2001,0.4,2,D.T. Cromer,0,1
12395,12395,33,25.035999999999998,0,2001,20,4,0,0.273,37,3,0,15,2001,-0.2,1,Lance Davis,0,0
12408,12408,0,27.035999999999998,0,2001,0,0,0,,0,0,0,0,2001,0.0,1,Kris Foster,0,0
12411,12411,0,30.078000000000003,0,2001,16,0,0,,0,0,0,0,2001,0.0,1,Gus Gandarillas,0,0
12415,12415,0,23.070999999999998,0,2001,0,0,0,,0,0,0,0,2001,0.0,1,Steve Green,0,0
12417,12417,20,28.188000000000002,0,2000,17,0,0,0.0,23,0,0,14,2001,-0.4,2,Geraldo Guzman,0,1
12424,12424,71,24.074,0,2000,27,13,1,0.451,71,4,1,15,2001,-1.0,2,Alex Hernandez,0,1
12425,12425,12,23.025,0,2001,12,0,0,0.0,13,0,0,11,2001,-0.2,1,Junior Herndon,0,0
12432,12432,1,24.055,0,2001,3,0,0,0.0,1,0,0,0,2001,0.0,1,Chad Hutchinson,0,0
12436,12436,4,24.195999999999998,0,2001,7,0,0,0.0,4,0,0,2,2001,0.0,1,Brett Jodie,0,0
12444,12444,0,24.101999999999997,0,2000,2,0,0,,0,0,0,0,2001,0.0,2,Ryan Kohlmeier,0,1
12445,12445,2,27.303,0,2000,19,0,0,0.0,2,1,0,0,2001,0.1,2,Brandon Kolb,0,1
12447,12447,10,32.205999999999996,2,2001,8,1,0,0.35,12,0,0,3,2001,-0.2,1,Jalal Leach,0,0
12452,12452,26,27.213,1,2001,8,5,0,0.445,28,1,2,4,2001,-0.4,1,James Lofton,0,0
12454,12454,3,27.054000000000002,0,2001,24,0,0,0.0,3,0,0,1,2001,0.0,1,Scott MacRae,0,0
12459,12459,15,25.335,0,2001,8,7,0,1.0,16,4,0,2,2001,0.3,1,Troy Mattes,0,0
