time,from,to,size
34,2,1,0.273284
34,1,5,7.86e-08
34,1,6,0.0419052
34,1,7,7.95e-08
34,3,2,0.357127
34,2,8,0.0419126
34,2,9,5.52e-08
34,2,10,0.0419118
34,3,11,6.36e-08
34,4,3,0.399086
34,3,12,0.0419218
34,13,4,0.399133
34,4,14,1.06e-07
35,2,1,0.389016
35,1,5,4.9e-08
35,1,6,0.0378878
35,1,7,4.95e-08
35,3,2,0.464847
35,2,8,0.0378968
35,2,9,3.64e-08
35,2,10,0.0378962
35,3,11,4.12e-08
35,4,3,0.502818
35,3,12,0.0379076
35,13,4,0.502892
35,4,14,6.46e-08
36,2,1,0.45196
36,1,5,3.02e-08
36,1,6,0.0378266
36,1,7,3.05e-08
36,3,2,0.527684
36,2,8,0.0378369
36,2,9,2.29e-08
36,2,10,0.0378363
36,3,11,2.58e-08
36,4,3,0.565615
36,3,12,0.0378492
36,13,4,0.565708
36,4,14,3.95e-08
37,2,1,1.33834
37,1,5,6.09e-07
37,1,6,0.0635364
37,1,7,6.11e-07
37,3,2,0.989889
37,2,8,0.0635849
37,9,2,0.476038
37,2,10,0.0635831
37,3,11,4.73e-07
37,4,3,1.0538
37,3,12,0.0636231
37,13,4,0.565527
37,14,4,0.488593
38,2,1,1.50265
38,5,1,0.138541
38,1,6,0.133802
38,7,1,0.475456
38,3,2,1.29494
38,2,8,0.133918
38,9,2,0.476051
38,2,10,0.13391
38,11,3,0.476347
38,4,3,0.95308
38,3,12,0.134021
38,13,4,0.476652
38,14,4,0.476691
39,2,1,0.576313
39,5,1,0.314859
39,1,6,0.22781
39,7,1,0.314913
39,3,2,0.717215
39,2,8,0.227902
39,9,2,0.314955
39,2,10,0.227879
39,11,3,0.315059
39,4,3,0.6303
39,3,12,0.228001
39,13,4,0.315199
39,14,4,0.315216
40,1,2,0.481637
40,5,1,0.118979
40,1,6,0.319184
40,7,1,0.118986
40,3,2,0.0377117
40,2,8,0.319146
40,9,2,0.118948
40,2,10,0.3191
40,11,3,0.118946
40,4,3,0.237917
40,3,12,0.319151
40,13,4,0.118966
40,14,4,0.118968
41,1,2,1.23184
41,1,5,5.17e-07
41,1,6,0.38491
41,1,7,5.13e-07
41,2,3,0.462125
41,2,8,0.384717
41,2,9,3.18e-07
41,2,10,0.384649
41,3,11,3.42e-07
41,3,4,0.0774589
41,3,12,0.384602
41,4,13,0.0774565
41,4,14,5.97e-07
42,1,2,1.47665
42,1,5,1.95e-07
42,1,6,0.409022
42,1,7,1.94e-07
42,2,3,0.658698
42,2,8,0.408762
42,2,9,1.31e-07
42,2,10,0.408686
42,3,11,1.41e-07
42,3,4,0.249977
42,3,12,0.408591
42,4,13,0.249959
42,4,14,2.28e-07
43,1,2,1.53517
43,1,5,4.94e-08
43,1,6,0.383989
43,1,7,4.93e-08
43,2,3,0.767237
43,2,8,0.383727
43,2,9,4e-08
43,2,10,0.38366
43,3,11,4.23e-08
43,3,4,0.38352
43,3,12,0.383542
43,4,13,0.383476
43,4,14,5.66e-08
44,1,2,1.26649
44,5,1,1.83e-07
44,1,6,0.316757
44,7,1,1.82e-07
44,2,3,0.633011
44,2,8,0.316579
44,9,2,1.21e-07
44,2,10,0.316533
44,11,3,1.32e-07
44,3,4,0.316438
44,3,12,0.316454
44,4,13,0.316409
44,14,4,2.2e-07
45,1,2,0.89718
45,5,1,1.64e-07
45,1,6,0.224362
45,7,1,1.62e-07
45,2,3,0.448472
45,2,8,0.224273
45,9,2,1.11e-07
45,2,10,0.22425
45,11,3,1.21e-07
45,3,4,0.224202
45,3,12,0.22421
45,4,13,0.224188
45,14,4,1.96e-07
46,1,2,0.525218
46,5,1,7.75e-08
46,1,6,0.131327
46,7,1,7.58e-08
46,2,3,0.262568
46,2,8,0.131297
46,9,2,5.62e-08
46,2,10,0.131289
46,11,3,6.1e-08
46,3,4,0.131273
46,3,12,0.131275
46,4,13,0.131268
46,14,4,9.16e-08
47,1,2,0.251237
47,5,1,1.01e-08
47,1,6,0.0628145
47,7,1,8.89e-09
47,2,3,0.125609
47,2,8,0.0628076
47,9,2,1.17e-08
47,2,10,0.0628058
47,11,3,1.23e-08
47,3,4,0.0628021
47,3,12,0.0628027
47,4,13,0.0628009
47,14,4,1.05e-08
48,1,2,0.150596
48,1,5,2.56e-09
48,1,6,0.0376509
48,1,7,2.99e-09
48,2,3,0.0752948
48,2,8,0.0376484
48,9,2,3.76e-10
48,2,10,0.0376478
48,11,3,1.89e-10
48,3,4,0.0376465
48,3,12,0.0376467
48,4,13,0.037646
48,4,14,3.73e-09
49,1,2,0.150913
49,5,1,8e-12
49,1,6,0.03773
49,7,1,9.26e-12
49,2,3,0.075453
49,2,8,0.0377275
49,2,9,1.32e-12
49,2,10,0.0377269
49,3,11,1.07e-12
49,3,4,0.0377256
49,3,12,0.0377258
49,4,13,0.0377251
49,14,4,1.23e-11
50,1,2,0.167042
50,5,1,2.44e-10
50,1,6,0.0417627
50,7,1,3.13e-10
50,2,3,0.0835168
50,2,8,0.0417597
50,2,9,1.65e-10
50,2,10,0.0417589
50,3,11,1.45e-10
50,3,4,0.0417572
50,3,12,0.0417575
50,4,13,0.0417567
50,14,4,3.98e-10
51,1,2,0.282017
51,1,5,6.4e-09
51,1,6,0.0705108
51,1,7,5.91e-09
51,2,3,0.140997
51,2,8,0.070502
51,2,9,6.29e-09
51,2,10,0.0704998
51,3,11,6.67e-09
51,3,4,0.0704951
51,3,12,0.0704959
51,4,13,0.0704937
51,4,14,7.05e-09
52,1,2,0.592831
52,1,5,7.69e-08
52,1,6,0.148237
52,1,7,7.56e-08
52,2,3,0.296364
52,2,8,0.148198
52,2,9,5.44e-08
52,2,10,0.148188
52,3,11,5.91e-08
52,3,4,0.148167
52,3,12,0.148171
52,4,13,0.148161
52,4,14,9.14e-08
53,1,2,0.998685
53,1,5,2.03e-07
53,1,6,0.249754
53,1,7,2.01e-07
53,2,3,0.499195
53,2,8,0.249644
53,2,9,1.35e-07
53,2,10,0.249616
53,3,11,1.48e-07
53,3,4,0.249556
53,3,12,0.249565
53,4,13,0.249537
53,4,14,2.44e-07
54,1,2,1.19283
54,1,5,1.22e-07
54,1,6,0.298327
54,1,7,1.21e-07
54,2,3,0.596207
54,2,8,0.298169
54,2,9,8.01e-08
54,2,10,0.298129
54,3,11,8.77e-08
54,3,4,0.298044
54,3,12,0.298057
54,4,13,0.298018
54,4,14,1.46e-07
55,1,2,0.998692
55,5,1,9.85e-08
55,1,6,0.249756
55,7,1,9.76e-08
55,2,3,0.499199
55,2,8,0.249645
55,9,2,6.59e-08
55,2,10,0.249617
55,11,3,7.2e-08
55,3,4,0.249558
55,3,12,0.249567
55,4,13,0.24954
55,14,4,1.18e-07
56,1,2,0.433301
56,5,1,8.09e-08
56,1,6,0.148422
56,7,1,7.86e-08
56,2,3,0.136475
56,2,8,0.148397
56,9,2,5.73e-08
56,2,10,0.148387
56,11,3,5.88e-08
56,4,3,0.0119147
56,3,12,0.148384
56,13,4,0.0119147
56,14,4,8.48e-08
57,2,1,0.0283334
57,1,5,7.04e-08
57,1,6,0.0706808
57,1,7,7.23e-08
57,3,2,0.1697
57,2,8,0.0706844
57,2,9,4.65e-08
57,2,10,0.0706822
57,3,11,5.6e-08
57,4,3,0.240401
57,3,12,0.0706918
57,13,4,0.240418
57,4,14,1.02e-07
58,2,1,0.273284
58,1,5,7.86e-08
58,1,6,0.0419052
58,1,7,7.95e-08
58,3,2,0.357127
58,2,8,0.0419126
58,2,9,5.52e-08
58,2,10,0.0419118
58,3,11,6.36e-08
58,4,3,0.399086
58,3,12,0.0419218
58,13,4,0.399133
58,4,14,1.06e-07
59,2,1,0.389016
59,1,5,4.9e-08
59,1,6,0.0378878
59,1,7,4.95e-08
59,3,2,0.464847
59,2,8,0.0378968
59,2,9,3.64e-08
59,2,10,0.0378962
59,3,11,4.12e-08
59,4,3,0.502818
59,3,12,0.0379076
59,13,4,0.502892
59,4,14,6.46e-08
60,2,1,0.45196
60,1,5,3.02e-08
60,1,6,0.0378266
60,1,7,3.05e-08
60,3,2,0.527684
60,2,8,0.0378369
60,2,9,2.29e-08
60,2,10,0.0378363
60,3,11,2.58e-08
60,4,3,0.565615
60,3,12,0.0378492
60,13,4,0.565708
60,4,14,3.95e-08
61,2,1,0.439576
61,5,1,0.563407
61,1,6,0.0634169
61,1,7,3.26e-07
61,3,2,0.566491
61,2,8,0.0634344
61,2,9,2.14e-07
61,2,10,0.0634326
61,11,3,0.066252
61,4,3,0.563787
61,3,12,0.0634562
61,13,4,0.56388
61,4,14,3.88e-07
62,2,1,1.1629
62,5,1,0.474706
62,1,6,0.133532
62,7,1,0.138272
62,3,2,1.2921
62,2,8,0.133625
62,9,2,0.13835
62,2,10,0.133617
62,11,3,0.475303
62,4,3,0.950993
62,3,12,0.133727
62,13,4,0.475608
62,14,4,0.475647
63,2,1,0.576309
63,5,1,0.314858
63,1,6,0.227809
63,7,1,0.314912
63,3,2,0.717212
63,2,8,0.227902
63,9,2,0.314955
63,2,10,0.227879
63,11,3,0.315059
63,4,3,0.630297
63,3,12,0.228001
63,13,4,0.315198
63,14,4,0.315215
64,1,2,0.481637
64,5,1,0.118979
64,1,6,0.319184
64,7,1,0.118986
64,3,2,0.0377117
64,2,8,0.319146
64,9,2,0.118948
64,2,10,0.3191
64,11,3,0.118946
64,4,3,0.237917
64,3,12,0.319151
64,13,4,0.118966
64,14,4,0.118968
65,1,2,1.23184
65,1,5,5.17e-07
65,1,6,0.38491
65,1,7,5.13e-07
65,2,3,0.462125
65,2,8,0.384717
65,2,9,3.18e-07
65,2,10,0.384649
65,3,11,3.42e-07
65,3,4,0.0774589
65,3,12,0.384602
65,4,13,0.0774565
65,4,14,5.97e-07
66,1,2,1.47665
66,1,5,1.95e-07
66,1,6,0.409022
66,1,7,1.94e-07
66,2,3,0.658698
66,2,8,0.408762
66,2,9,1.31e-07
66,2,10,0.408686
66,3,11,1.41e-07
66,3,4,0.249977
66,3,12,0.408591
66,4,13,0.249959
66,4,14,2.28e-07
67,1,2,1.53517
67,1,5,4.94e-08
67,1,6,0.383989
67,1,7,4.93e-08
67,2,3,0.767237
67,2,8,0.383727
67,2,9,4e-08
67,2,10,0.38366
67,3,11,4.23e-08
67,3,4,0.38352
67,3,12,0.383542
67,4,13,0.383476
67,4,14,5.66e-08
68,1,2,1.26649
68,5,1,1.83e-07
68,1,6,0.316757
68,7,1,1.82e-07
68,2,3,0.633011
68,2,8,0.316579
68,9,2,1.21e-07
68,2,10,0.316533
68,11,3,1.32e-07
68,3,4,0.316438
68,3,12,0.316454
68,4,13,0.316409
68,14,4,2.2e-07
69,1,2,0.89718
69,5,1,1.64e-07
69,1,6,0.224362
69,7,1,1.62e-07
69,2,3,0.448472
69,2,8,0.224273
69,9,2,1.11e-07
69,2,10,0.22425
69,11,3,1.21e-07
69,3,4,0.224202
69,3,12,0.22421
69,4,13,0.224188
69,14,4,1.96e-07
70,1,2,0.525218
70,5,1,7.75e-08
70,1,6,0.131327
70,7,1,7.58e-08
70,2,3,0.262568
70,2,8,0.131297
70,9,2,5.62e-08
70,2,10,0.131289
70,11,3,6.1e-08
70,3,4,0.131273
70,3,12,0.131275
70,4,13,0.131268
70,14,4,9.16e-08
71,1,2,0.251237
71,5,1,1.01e-08
71,1,6,0.0628145
71,7,1,8.89e-09
71,2,3,0.125609
71,2,8,0.0628076
71,9,2,1.17e-08
71,2,10,0.0628058
71,11,3,1.23e-08
71,3,4,0.0628021
71,3,12,0.0628027
71,4,13,0.0628009
71,14,4,1.05e-08
72,1,2,0.150596
72,1,5,2.56e-09
72,1,6,0.0376509
72,1,7,2.99e-09
72,2,3,0.0752948
72,2,8,0.0376484
72,9,2,3.76e-10
72,2,10,0.0376478
72,11,3,1.89e-10
72,3,4,0.0376465
72,3,12,0.0376467
72,4,13,0.037646
72,4,14,3.73e-09
73,1,2,0.150913
73,5,1,8e-12
73,1,6,0.03773
73,7,1,9.26e-12
73,2,3,0.075453
73,2,8,0.0377275
73,2,9,1.32e-12
73,2,10,0.0377269
73,3,11,1.07e-12
73,3,4,0.0377256
73,3,12,0.0377258
73,4,13,0.0377251
73,14,4,1.23e-11
74,1,2,0.167042
74,5,1,2.44e-10
74,1,6,0.0417627
74,7,1,3.13e-10
74,2,3,0.0835168
74,2,8,0.0417597
74,2,9,1.65e-10
74,2,10,0.0417589
74,3,11,1.45e-10
74,3,4,0.0417572
74,3,12,0.0417575
74,4,13,0.0417567
74,14,4,3.98e-10
75,1,2,0.282017
75,1,5,6.4e-09
75,1,6,0.0705108
75,1,7,5.91e-09
75,2,3,0.140997
75,2,8,0.070502
75,2,9,6.29e-09
75,2,10,0.0704998
75,3,11,6.67e-09
75,3,4,0.0704951
75,3,12,0.0704959
75,4,13,0.0704937
75,4,14,7.05e-09
76,1,2,0.592831
76,1,5,7.69e-08
76,1,6,0.148237
76,1,7,7.56e-08
76,2,3,0.296364
76,2,8,0.148198
76,2,9,5.44e-08
76,2,10,0.148188
76,3,11,5.91e-08
76,3,4,0.148167
76,3,12,0.148171
76,4,13,0.148161
76,4,14,9.14e-08
77,1,2,0.998685
77,1,5,2.03e-07
77,1,6,0.249754
77,1,7,2.01e-07
77,2,3,0.499195
77,2,8,0.249644
77,2,9,1.35e-07
77,2,10,0.249616
77,3,11,1.48e-07
77,3,4,0.249556
77,3,12,0.249565
77,4,13,0.249537
77,4,14,2.44e-07
78,1,2,1.19283
78,1,5,1.22e-07
78,1,6,0.298327
78,1,7,1.21e-07
78,2,3,0.596207
78,2,8,0.298169
78,2,9,8.01e-08
78,2,10,0.298129
78,3,11,8.77e-08
78,3,4,0.298044
78,3,12,0.298057
78,4,13,0.298018
78,4,14,1.46e-07
79,1,2,0.998692
79,5,1,9.85e-08
79,1,6,0.249756
79,7,1,9.76e-08
79,2,3,0.499199
79,2,8,0.249645
79,9,2,6.59e-08
79,2,10,0.249617
79,11,3,7.2e-08
79,3,4,0.249558
79,3,12,0.249567
79,4,13,0.24954
79,14,4,1.18e-07
80,1,2,0.26373
80,1,5,0.0376802
80,1,6,0.0376796
80,1,7,0.0376794
80,2,3,0.150691
80,2,8,0.0376748
80,2,9,0.0376748
80,2,10,0.0376742
80,3,11,0.0376718
80,3,4,0.075341
80,3,12,0.0376713
80,4,13,0.0376698
80,4,14,0.0376696
81,1,2,0.291873
81,1,5,0.0417016
81,1,6,0.0417009
81,1,7,0.0417006
81,2,3,0.16677
81,2,8,0.041695
81,2,9,0.041695
81,2,10,0.0416942
81,3,11,0.0416913
81,3,4,0.0833796
81,3,12,0.0416908
81,4,13,0.0416889
81,4,14,0.0416886
82,1,2,0.492247
82,1,5,0.0703364
82,1,6,0.0703343
82,1,7,0.0703336
82,2,3,0.281241
82,2,8,0.0703176
82,2,9,0.0703176
82,2,10,0.0703154
82,3,11,0.0703071
82,3,4,0.140605
82,3,12,0.0703055
82,4,13,0.0703002
82,4,14,0.0702993
83,1,2,1.03177
83,1,5,0.147463
83,1,6,0.147454
83,1,7,0.147451
83,2,3,0.58939
83,2,8,0.147381
83,2,9,0.147381
83,2,10,0.147371
83,3,11,0.147335
83,3,4,0.294629
83,3,12,0.147327
83,4,13,0.147304
83,4,14,0.1473
84,1,2,1.73151
84,1,5,0.247551
84,1,6,0.247526
84,1,7,0.247517
84,2,3,0.988889
84,2,8,0.247318
84,2,9,0.247318
84,2,10,0.24729
84,3,11,0.247186
84,3,4,0.494256
84,3,12,0.247163
84,4,13,0.247097
84,4,14,0.247086
85,1,2,2.06435
85,1,5,0.295182
85,1,6,0.295146
85,1,7,0.295134
85,2,3,1.17885
85,2,8,0.294849
85,2,9,0.294849
85,2,10,0.294809
85,3,11,0.294661
85,3,4,0.58916
85,3,12,0.29463
85,4,13,0.294536
85,4,14,0.29452
86,1,2,1.73155
86,1,5,0.247559
86,1,6,0.247533
86,1,7,0.247525
86,2,3,0.988922
86,2,8,0.247323
86,2,9,0.247323
86,2,10,0.247295
86,3,11,0.247191
86,3,4,0.494275
86,3,12,0.247172
86,4,13,0.247106
86,4,14,0.247095
87,1,2,0.433301
87,5,1,2.08e-07
87,1,6,0.148423
87,7,1,2.02e-07
87,2,3,0.136475
87,2,8,0.148397
87,9,2,1.43e-07
87,2,10,0.148387
87,11,3,1.47e-07
87,4,3,0.011915
87,3,12,0.148385
87,13,4,0.0119149
87,14,4,2.19e-07
88,2,1,0.0283334
88,1,5,7.04e-08
88,1,6,0.0706808
88,1,7,7.23e-08
88,3,2,0.1697
88,2,8,0.0706844
88,2,9,4.65e-08
88,2,10,0.0706822
88,3,11,5.6e-08
88,4,3,0.240401
88,3,12,0.0706918
88,13,4,0.240418
88,4,14,1.02e-07
89,2,1,0.273284
89,1,5,7.86e-08
89,1,6,0.0419052
89,1,7,7.95e-08
89,3,2,0.357127
89,2,8,0.0419126
89,2,9,5.52e-08
89,2,10,0.0419118
89,3,11,6.36e-08
89,4,3,0.399086
89,3,12,0.0419218
89,13,4,0.399133
89,4,14,1.06e-07
90,2,1,0.389016
90,1,5,4.9e-08
90,1,6,0.0378878
90,1,7,4.95e-08
90,3,2,0.464847
90,2,8,0.0378968
90,2,9,3.64e-08
90,2,10,0.0378962
90,3,11,4.12e-08
90,4,3,0.502818
90,3,12,0.0379076
90,13,4,0.502892
90,4,14,6.46e-08
91,2,1,0.45196
91,1,5,3.02e-08
91,1,6,0.0378266
91,1,7,3.05e-08
91,3,2,0.527684
91,2,8,0.0378369
91,2,9,2.29e-08
91,2,10,0.0378363
91,3,11,2.58e-08
91,4,3,0.565615
91,3,12,0.0378492
91,13,4,0.565708
91,4,14,3.95e-08
92,2,1,0.753852
92,1,5,6.58e-08
92,1,6,0.063264
92,1,7,6.67e-08
92,3,2,0.559353
