hour, t(sec), S1 (kVA), Ang1
285, 0.00000, 0.0418342, 25.8415
286, 0.00000, 0.0419221, 25.8415
287, 0.00000, 0.0464029, 25.8415
288, 0.00000, 0.0783448, 25.8412
289, 0.00000, 0.164706, 25.8406
290, 0.00000, 0.2775, 25.84
291, 0.00000, 0.331467, 25.8392
292, 0.00000, 0.277499, 25.8389
293, 0.00000, 0.164911, 25.8401
294, 0.00000, 0.0785338, 25.8413
295, 0.00000, 0.0465612, 25.8415
296, 0.00000, 0.0420974, 25.8415
297, 0.00000, 0.0420294, 25.8415
298, 0.00000, 0.0704631, 25.8418
299, 0.00000, 0.14837, 25.8424
300, 0.00000, 0.253113, 25.8382
301, 0.00000, 0.354641, 25.8391
302, 0.00000, 0.427672, 25.8401
303, 0.00000, 0.454454, 25.8383
304, 0.00000, 0.42664, 25.8379
305, 0.00000, 0.35194, 25.8378
306, 0.00000, 0.249285, 25.8389
307, 0.00000, 0.145917, 25.8403
308, 0.00000, 0.0697935, 25.8413
309, 0.00000, 0.0418342, 25.8415
310, 0.00000, 0.0419221, 25.8415
311, 0.00000, 0.0464029, 25.8415
312, 0.00000, 0.0783448, 25.8412
313, 0.00000, 0.164706, 25.8406
314, 0.00000, 0.2775, 25.84
315, 0.00000, 0.331467, 25.8392
316, 0.00000, 0.277499, 25.8389
317, 0.00000, 0.0418661, 25.8415
318, 0.00000, 0.0463341, 25.8415
319, 0.00000, 0.0781488, 25.8413
320, 0.00000, 0.163838, 25.8416
321, 0.00000, 0.275031, 25.8428
322, 0.00000, 0.327937, 25.8409
323, 0.00000, 0.275027, 25.8376
324, 0.00000, 0.164911, 25.8397
325, 0.00000, 0.0785338, 25.8413
326, 0.00000, 0.0465612, 25.8415
327, 0.00000, 0.0420974, 25.8415
328, 0.00000, 0.0420294, 25.8415
329, 0.00000, 0.0702931, 25.8415
330, 0.00000, 0.148488, 25.8436
331, 0.00000, 0.253113, 25.8379
332, 0.00000, 0.354641, 25.8391
333, 0.00000, 0.427672, 25.8401
334, 0.00000, 0.454454, 25.8383
335, 0.00000, 0.42664, 25.8379
336, 0.00000, 0.35194, 25.8378
337, 0.00000, 0.249285, 25.8389
338, 0.00000, 0.145917, 25.8403
339, 0.00000, 0.0697935, 25.8413
340, 0.00000, 0.0418342, 25.8415
341, 0.00000, 0.0419221, 25.8415
342, 0.00000, 0.0464029, 25.8415
343, 0.00000, 0.0783448, 25.8412
344, 0.00000, 0.164706, 25.8406
345, 0.00000, 0.2775, 25.84
346, 0.00000, 0.331467, 25.8392
347, 0.00000, 0.277499, 25.8389
348, 0.00000, 0.164911, 25.8401
349, 0.00000, 0.0785338, 25.8413
350, 0.00000, 0.0465612, 25.8415
351, 0.00000, 0.0420974, 25.8415
352, 0.00000, 0.0420294, 25.8415
353, 0.00000, 0.0705963, 25.8424
354, 0.00000, 0.14867, 25.8426
355, 0.00000, 0.253113, 25.8375
356, 0.00000, 0.354641, 25.8391
357, 0.00000, 0.427672, 25.8401
358, 0.00000, 0.454454, 25.8383
359, 0.00000, 0.42664, 25.8379
360, 0.00000, 0.35194, 25.8378
361, 0.00000, 0.249285, 25.8389
362, 0.00000, 0.145917, 25.8403
363, 0.00000, 0.0697935, 25.8413
364, 0.00000, 0.0418342, 25.8415
365, 0.00000, 0.0419221, 25.8415
366, 0.00000, 0.0464029, 25.8415
367, 0.00000, 0.0783448, 25.8412
368, 0.00000, 0.164706, 25.8406
369, 0.00000, 0.2775, 25.84
370, 0.00000, 0.331467, 25.8392
371, 0.00000, 0.277499, 25.8389
372, 0.00000, 0.164911, 25.8401
373, 0.00000, 0.0785338, 25.8413
374, 0.00000, 0.0465612, 25.8415
375, 0.00000, 0.0420974, 25.8415
376, 0.00000, 0.0420294, 25.8415
377, 0.00000, 0.0704631, 25.8418
378, 0.00000, 0.14837, 25.8424
379, 0.00000, 0.253113, 25.8382
380, 0.00000, 0.354641, 25.8391
381, 0.00000, 0.427672, 25.8401
382, 0.00000, 0.454454, 25.8383
383, 0.00000, 0.42664, 25.8379
384, 0.00000, 0.35194, 25.8378
385, 0.00000, 0.249285, 25.8389
386, 0.00000, 0.145917, 25.8403
387, 0.00000, 0.0697935, 25.8413
388, 0.00000, 0.0418342, 25.8415
389, 0.00000, 0.0419221, 25.8415
390, 0.00000, 0.0464029, 25.8415
391, 0.00000, 0.0783448, 25.8412
392, 0.00000, 0.164706, 25.8406
393, 0.00000, 0.2775, 25.84
394, 0.00000, 0.331467, 25.8392
395, 0.00000, 0.277499, 25.8389
396, 0.00000, 0.0418661, 25.8415
397, 0.00000, 0.0463341, 25.8415
398, 0.00000, 0.0781488, 25.8413
399, 0.00000, 0.163838, 25.8416
400, 0.00000, 0.275031, 25.8428
401, 0.00000, 0.327937, 25.8409
402, 0.00000, 0.275027, 25.8376
403, 0.00000, 0.164911, 25.8397
404, 0.00000, 0.0785338, 25.8413
405, 0.00000, 0.0465612, 25.8415
406, 0.00000, 0.0420974, 25.8415
407, 0.00000, 0.0420294, 25.8415
408, 0.00000, 0.0702931, 25.8415
409, 0.00000, 0.148488, 25.8436
410, 0.00000, 0.253113, 25.8379
411, 0.00000, 0.354641, 25.8391
412, 0.00000, 0.427672, 25.8401
413, 0.00000, 0.454454, 25.8383
414, 0.00000, 0.42664, 25.8379
415, 0.00000, 0.35194, 25.8378
416, 0.00000, 0.249285, 25.8389
417, 0.00000, 0.145917, 25.8403
418, 0.00000, 0.0697935, 25.8413
419, 0.00000, 0.0418342, 25.8415
420, 0.00000, 0.0419221, 25.8415
421, 0.00000, 0.0464029, 25.8415
422, 0.00000, 0.0783448, 25.8412
423, 0.00000, 0.164706, 25.8406
424, 0.00000, 0.2775, 25.84
425, 0.00000, 0.331467, 25.8392
426, 0.00000, 0.277499, 25.8389
427, 0.00000, 0.164911, 25.8401
428, 0.00000, 0.0785338, 25.8413
429, 0.00000, 0.0465612, 25.8415
430, 0.00000, 0.0420974, 25.8415
431, 0.00000, 0.0420294, 25.8415
432, 0.00000, 0.0705963, 25.8424
433, 0.00000, 0.14867, 25.8426
434, 0.00000, 0.253113, 25.8375
435, 0.00000, 0.354641, 25.8391
436, 0.00000, 0.427672, 25.8401
437, 0.00000, 0.454454, 25.8383
438, 0.00000, 0.42664, 25.8379
439, 0.00000, 0.35194, 25.8378
440, 0.00000, 0.249285, 25.8389
441, 0.00000, 0.145917, 25.8403
442, 0.00000, 0.0697935, 25.8413
443, 0.00000, 0.0418342, 25.8415
444, 0.00000, 0.0419221, 25.8415
445, 0.00000, 0.0464029, 25.8415
446, 0.00000, 0.0783448, 25.8412
447, 0.00000, 0.164706, 25.8406
448, 0.00000, 0.2775, 25.84
449, 0.00000, 0.331467, 25.8392
450, 0.00000, 0.277499, 25.8389
451, 0.00000, 0.164911, 25.8401
452, 0.00000, 0.0785338, 25.8413
453, 0.00000, 0.0465612, 25.8415
454, 0.00000, 0.0420974, 25.8415
455, 0.00000, 0.0420294, 25.8415
456, 0.00000, 0.0704631, 25.8418
457, 0.00000, 0.14837, 25.8424
458, 0.00000, 0.253113, 25.8382
459, 0.00000, 0.354641, 25.8391
460, 0.00000, 0.427672, 25.8401
461, 0.00000, 0.454454, 25.8383
462, 0.00000, 0.42664, 25.8379
463, 0.00000, 0.35194, 25.8378
464, 0.00000, 0.249285, 25.8389
465, 0.00000, 0.145917, 25.8403
466, 0.00000, 0.0697935, 25.8413
467, 0.00000, 0.0418342, 25.8415
468, 0.00000, 0.0419221, 25.8415
469, 0.00000, 0.0464029, 25.8415
470, 0.00000, 0.0783448, 25.8412
471, 0.00000, 0.164706, 25.8406
472, 0.00000, 0.2775, 25.84
473, 0.00000, 0.331467, 25.8392
474, 0.00000, 0.277499, 25.8389
475, 0.00000, 0.0418661, 25.8415
476, 0.00000, 0.0463341, 25.8415
477, 0.00000, 0.0781488, 25.8413
478, 0.00000, 0.163838, 25.8416
479, 0.00000, 0.275031, 25.8428
480, 0.00000, 0.327937, 25.8409
481, 0.00000, 0.275027, 25.8376
482, 0.00000, 0.164911, 25.8397
483, 0.00000, 0.0785338, 25.8413
484, 0.00000, 0.0465612, 25.8415
485, 0.00000, 0.0420974, 25.8415
486, 0.00000, 0.0420294, 25.8415
487, 0.00000, 0.0702931, 25.8415
488, 0.00000, 0.148488, 25.8436
489, 0.00000, 0.253113, 25.8379
490, 0.00000, 0.354641, 25.8391
491, 0.00000, 0.427672, 25.8401
492, 0.00000, 0.454454, 25.8383
493, 0.00000, 0.42664, 25.8379
494, 0.00000, 0.35194, 25.8378
495, 0.00000, 0.249285, 25.8389
496, 0.00000, 0.145917, 25.8403
497, 0.00000, 0.0697935, 25.8413
498, 0.00000, 0.0418342, 25.8415
499, 0.00000, 0.0419221, 25.8415
500, 0.00000, 0.0464029, 25.8415
501, 0.00000, 0.0783448, 25.8412
502, 0.00000, 0.164706, 25.8406
503, 0.00000, 0.2775, 25.84
504, 0.00000, 0.331467, 25.8392
505, 0.00000, 0.277499, 25.8389
506, 0.00000, 0.164911, 25.8401
507, 0.00000, 0.0785338, 25.8413
508, 0.00000, 0.0465612, 25.8415
509, 0.00000, 0.0420974, 25.8415
510, 0.00000, 0.0420294, 25.8415
511, 0.00000, 0.0705963, 25.8424
512, 0.00000, 0.14867, 25.8426
513, 0.00000, 0.253113, 25.8375
514, 0.00000, 0.354641, 25.8391
515, 0.00000, 0.427672, 25.8401
516, 0.00000, 0.454454, 25.8383
517, 0.00000, 0.42664, 25.8379
518, 0.00000, 0.35194, 25.8378
519, 0.00000, 0.249285, 25.8389
520, 0.00000, 0.145917, 25.8403
521, 0.00000, 0.0697935, 25.8413
522, 0.00000, 0.0418342, 25.8415
523, 0.00000, 0.0419221, 25.8415
524, 0.00000, 0.0464029, 25.8415
525, 0.00000, 0.0783448, 25.8412
526, 0.00000, 0.164706, 25.8406
527, 0.00000, 0.2775, 25.84
528, 0.00000, 0.331467, 25.8392
529, 0.00000, 0.277499, 25.8389
530, 0.00000, 0.164911, 25.8401
531, 0.00000, 0.0785338, 25.8413
532, 0.00000, 0.0465612, 25.8415
533, 0.00000, 0.0420974, 25.8415
534, 0.00000, 0.0420294, 25.8415
535, 0.00000, 0.0704631, 25.8418
536, 0.00000, 0.14837, 25.8424
537, 0.00000, 0.253113, 25.8382
