hour, t(sec), P1 (kW), Q1 (kvar)
235, 0.00000, 0.499195, 0.241767
236, 0.00000, 0.596207, 0.288745
237, 0.00000, 0.499199, 0.241758
238, 0.00000, 0.150691, 0.0671187
239, 0.00000, 0.16677, 0.0742804
240, 0.00000, 0.281241, 0.125266
241, 0.00000, 0.58939, 0.262527
242, 0.00000, 0.988889, 0.440508
243, 0.00000, 1.17885, 0.525085
244, 0.00000, 0.988922, 0.440409
245, 0.00000, 0.136475, 0.0660966
246, 0.00000, -0.1697, -0.0821959
247, 0.00000, -0.357127, -0.17298
248, 0.00000, -0.464847, -0.225156
249, 0.00000, -0.527684, -0.255594
250, 0.00000, -0.559353, -0.261565
251, 0.00000, -0.922095, -0.372711
252, 0.00000, -0.717211, -0.29832
253, 0.00000, -0.0377117, 0.000240988
254, 0.00000, 0.462125, 0.223825
255, 0.00000, 0.658698, 0.319011
256, 0.00000, 0.767237, 0.371563
257, 0.00000, 0.633011, 0.306552
258, 0.00000, 0.448472, 0.21719
259, 0.00000, 0.262568, 0.127164
260, 0.00000, 0.125609, 0.0608346
261, 0.00000, 0.0752948, 0.0364666
262, 0.00000, 0.075453, 0.0365433
263, 0.00000, 0.0835168, 0.0404487
264, 0.00000, 0.140997, 0.0682869
265, 0.00000, 0.296364, 0.143532
266, 0.00000, 0.499195, 0.241767
267, 0.00000, 0.596207, 0.288745
268, 0.00000, 0.499199, 0.241758
269, 0.00000, 0.136475, 0.0660966
270, 0.00000, -0.1697, -0.0821959
271, 0.00000, -0.357127, -0.17298
272, 0.00000, -0.464847, -0.225156
273, 0.00000, -0.527684, -0.255594
274, 0.00000, -0.989889, -0.479568
275, 0.00000, -1.29494, -0.553203
276, 0.00000, -0.717215, -0.298312
277, 0.00000, -0.0377117, 0.000240988
278, 0.00000, 0.462125, 0.223825
279, 0.00000, 0.658698, 0.319011
280, 0.00000, 0.767237, 0.371563
281, 0.00000, 0.633011, 0.306552
282, 0.00000, 0.448472, 0.21719
283, 0.00000, 0.262568, 0.127164
284, 0.00000, 0.125609, 0.0608346
285, 0.00000, 0.0752948, 0.0364666
286, 0.00000, 0.075453, 0.0365433
287, 0.00000, 0.0835168, 0.0404487
288, 0.00000, 0.140997, 0.0682869
289, 0.00000, 0.296364, 0.143532
290, 0.00000, 0.499195, 0.241767
291, 0.00000, 0.596207, 0.288745
292, 0.00000, 0.499199, 0.241758
293, 0.00000, 0.136475, 0.0660966
294, 0.00000, -0.1697, -0.0821959
295, 0.00000, -0.357127, -0.17298
296, 0.00000, -0.464847, -0.225156
297, 0.00000, -0.527684, -0.255594
298, 0.00000, -0.566491, -0.264098
299, 0.00000, -1.2921, -0.551982
300, 0.00000, -0.717212, -0.298326
301, 0.00000, -0.0377117, 0.000240988
302, 0.00000, 0.462125, 0.223825
303, 0.00000, 0.658698, 0.319011
304, 0.00000, 0.767237, 0.371563
305, 0.00000, 0.633011, 0.306552
306, 0.00000, 0.448472, 0.21719
307, 0.00000, 0.262568, 0.127164
308, 0.00000, 0.125609, 0.0608346
309, 0.00000, 0.0752948, 0.0364666
310, 0.00000, 0.075453, 0.0365433
311, 0.00000, 0.0835168, 0.0404487
312, 0.00000, 0.140997, 0.0682869
313, 0.00000, 0.296364, 0.143532
314, 0.00000, 0.499195, 0.241767
315, 0.00000, 0.596207, 0.288745
316, 0.00000, 0.499199, 0.241758
317, 0.00000, 0.150691, 0.0671187
318, 0.00000, 0.16677, 0.0742804
319, 0.00000, 0.281241, 0.125266
320, 0.00000, 0.58939, 0.262527
321, 0.00000, 0.988889, 0.440508
322, 0.00000, 1.17885, 0.525085
323, 0.00000, 0.988922, 0.440409
324, 0.00000, 0.136475, 0.0660966
325, 0.00000, -0.1697, -0.0821959
326, 0.00000, -0.357127, -0.17298
327, 0.00000, -0.464847, -0.225156
328, 0.00000, -0.527684, -0.255594
329, 0.00000, -0.559353, -0.261565
330, 0.00000, -0.922095, -0.372711
331, 0.00000, -0.717211, -0.29832
332, 0.00000, -0.0377117, 0.000240988
333, 0.00000, 0.462125, 0.223825
334, 0.00000, 0.658698, 0.319011
335, 0.00000, 0.767237, 0.371563
336, 0.00000, 0.633011, 0.306552
337, 0.00000, 0.448472, 0.21719
338, 0.00000, 0.262568, 0.127164
339, 0.00000, 0.125609, 0.0608346
340, 0.00000, 0.0752948, 0.0364666
341, 0.00000, 0.075453, 0.0365433
342, 0.00000, 0.0835168, 0.0404487
343, 0.00000, 0.140997, 0.0682869
344, 0.00000, 0.296364, 0.143532
345, 0.00000, 0.499195, 0.241767
346, 0.00000, 0.596207, 0.288745
347, 0.00000, 0.499199, 0.241758
348, 0.00000, 0.136475, 0.0660966
349, 0.00000, -0.1697, -0.0821959
350, 0.00000, -0.357127, -0.17298
351, 0.00000, -0.464847, -0.225156
352, 0.00000, -0.527684, -0.255594
353, 0.00000, -0.989889, -0.479568
354, 0.00000, -1.29494, -0.553203
355, 0.00000, -0.717215, -0.298312
356, 0.00000, -0.0377117, 0.000240988
357, 0.00000, 0.462125, 0.223825
358, 0.00000, 0.658698, 0.319011
359, 0.00000, 0.767237, 0.371563
360, 0.00000, 0.633011, 0.306552
361, 0.00000, 0.448472, 0.21719
362, 0.00000, 0.262568, 0.127164
363, 0.00000, 0.125609, 0.0608346
364, 0.00000, 0.0752948, 0.0364666
365, 0.00000, 0.075453, 0.0365433
366, 0.00000, 0.0835168, 0.0404487
367, 0.00000, 0.140997, 0.0682869
368, 0.00000, 0.296364, 0.143532
369, 0.00000, 0.499195, 0.241767
370, 0.00000, 0.596207, 0.288745
371, 0.00000, 0.499199, 0.241758
372, 0.00000, 0.136475, 0.0660966
373, 0.00000, -0.1697, -0.0821959
374, 0.00000, -0.357127, -0.17298
375, 0.00000, -0.464847, -0.225156
376, 0.00000, -0.527684, -0.255594
377, 0.00000, -0.566491, -0.264098
378, 0.00000, -1.2921, -0.551982
379, 0.00000, -0.717212, -0.298326
380, 0.00000, -0.0377117, 0.000240988
381, 0.00000, 0.462125, 0.223825
382, 0.00000, 0.658698, 0.319011
383, 0.00000, 0.767237, 0.371563
384, 0.00000, 0.633011, 0.306552
385, 0.00000, 0.448472, 0.21719
386, 0.00000, 0.262568, 0.127164
387, 0.00000, 0.125609, 0.0608346
388, 0.00000, 0.0752948, 0.0364666
389, 0.00000, 0.075453, 0.0365433
390, 0.00000, 0.0835168, 0.0404487
391, 0.00000, 0.140997, 0.0682869
392, 0.00000, 0.296364, 0.143532
393, 0.00000, 0.499195, 0.241767
394, 0.00000, 0.596207, 0.288745
395, 0.00000, 0.499199, 0.241758
396, 0.00000, 0.150691, 0.0671187
397, 0.00000, 0.16677, 0.0742804
398, 0.00000, 0.281241, 0.125266
399, 0.00000, 0.58939, 0.262527
400, 0.00000, 0.988889, 0.440508
401, 0.00000, 1.17885, 0.525085
402, 0.00000, 0.988922, 0.440409
403, 0.00000, 0.136475, 0.0660966
